id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
90,14-03-85,08:26,08:33,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
91,14-03-85,08:11,08:19,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
92,14-03-85,08:31,08:49,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
93,13-03-85,09:13,09:22,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
94,14-03-85,08:19,08:25,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
95,14-03-85,08:36,08:48,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
96,14-03-85,08:45,08:51,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
97,14-03-85,08:39,08:44,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
98,14-03-85,13:16,13:31,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
99,14-03-85,13:14,13:31,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
100,14-03-85,18:00,18:19,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
101,14-03-85,18:40,18:49,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
102,14-03-85,18:17,18:18,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
103,14-03-85,18:28,18:38,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
104,14-03-85,18:34,18:40,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
105,15-03-85,09:01,09:28,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
106,15-03-85,12:19,13:10,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
107,15-03-85,11:08,11:34,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
108,15-03-85,09:27,09:36,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
109,16-03-85,12:21,12:16,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
110,16-03-85,11:51,12:03,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
111,16-03-85,13:19,13:39,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
112,16-03-85,12:31,13:03,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
113,16-03-85,12:38,12:50,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
114,16-03-85,11:49,12:32,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
115,16-03-85,12:05,12:16,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
116,16-03-85,12:12,12:39,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
117,03-04-85,12:48,12:59,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
118,03-04-85,12:38,12:43,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
119,03-04-85,12:14,12:26,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
120,03-04-85,11:57,12:06,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
121,04-04-85,11:50,12:04,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
122,04-04-85,12:38,12:45,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
123,04-04-85,12:10,12:17,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
124,05-04-85,12:14,12:36,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
125,05-04-85,12:36,12:48,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
126,06-04-85,12:57,13:30,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
127,06-04-85,12:46,12:56,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
128,06-04-85,13:36,14:09,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
129,07-04-85,13:32,13:46,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
130,07-04-85,13:57,14:08,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
131,07-04-85,14:16,14:23,1,1,T1,,,,,,,,,,,,,,,,,,,,,,,,
132,01-05-85,10:57,11:05,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
133,01-05-85,11:21,11:32,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
134,01-05-85,11:33,11:41,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
135,01-05-85,12:08,12:20,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
136,01-05-85,12:22,12:31,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
137,02-05-85,11:01,11:08,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
138,02-05-85,11:10,11:13,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
139,02-05-85,11:20,11:30,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
140,02-05-85,11:57,12:22,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
141,02-05-85,12:56,13:18,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
142,03-05-85,11:26,11:32,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
143,03-05-85,11:42,12:02,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
144,03-05-85,12:15,12:22,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
145,03-05-85,12:24,12:30,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
146,03-05-85,12:42,12:56,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
147,03-05-85,13:02,13:08,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
148,04-05-85,11:34,11:43,2,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
149,04-05-85,11:47,11:53,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
150,04-05-85,12:00,12:08,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
151,04-05-85,12:16,12:34,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
152,04-05-85,12:47,13:03,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
153,04-05-85,13:21,13:45,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
154,05-05-85,12:05,12:14,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
155,05-05-85,12:32,12:38,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
156,05-05-85,12:50,12:59,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
157,05-05-85,13:01,13:24,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
158,05-05-85,13:32,13:44,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
159,05-05-85,13:45,13:56,1,1,T5,,,,,,,,,,,,,,,,,,,,,,,,
160,12-06-85,09:45,09:52,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
161,12-06-85,10:02,10:06,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
162,12-06-85,10:16,10:22,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
163,12-06-85,10:24,10:40,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
164,13-06-85,09:18,09:24,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
165,13-06-85,09:27,09:38,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
166,13-06-85,09:45,09:55,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
167,13-06-85,10:02,10:08,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
